clase,x,y,content
4,1.2248424,0.6657457,"['guys', 'best', 'love', 'health', 'uandpets']"
4,0.33101305,0.11499909,"['cant', 'one', 'talk', 'besties', 'meeting', 'tonight', 'girl', 'im', 'wait']"
4,0.042342473,-0.17810833,"['darealsunisakim', 'thanks', 'sunisa', 'dc', 'meet', 'sweetheart', 'twitter', 'hin', 'area', 'got', 'show', 'add']"
4,0.027190007,0.10301015,"['much', 'make', 'hurts', 'friends', 'sick', 'soup', 'really', 'eat', 'plus', 'cheap', 'real', 'food']"
4,1.6659803,0.7926405,"['everyone', 'effect', 'lovesbrooklyn']"
4,-0.34263834,0.26465297,"['productoffear', 'burst', 'thanks', 'sulk', 'loud', 'laughing', 'making', 'really', 'tell', 'come']"
4,2.53424,-2.0427268,"['keith', 'find', 'thans', 'ihad', 'hill', 'already', 'response', 'answer']"
4,0.2609133,-0.28546828,"['jealous', 'keepinupwkris', 'time', 'hope', 'love', 'great', 'like', 'show', 'acm', 'vegas']"
4,-0.836303,-1.2628276,"['finally', 'tommcfly', 'ah', 'mr', 'fletcher', 'twitter', 'joining', 'congrats']"
4,-0.75189734,1.7081511,"['stupid', 'errors', 'type', 'responded', 'forgive', 'helping', 'voip', 'cat']"
4,0.31523472,0.11129695,"['hours', 'school', 'straiiight', 'crazy', 'spencerpratt', 'ha', 'happy', 'birthday', 'told', 'day', 'jb', 'hills', 'watch']"
4,-0.057732783,-0.7388485,"['half', 'men', 'two', 'naughtyhaughty', 'forget', 'love', 'show']"
4,1.4146523,0.7220102,"['get', 'worry', 'hang', 'nileyjileyluver', 'haha']"
4,0.36803657,0.2126294,"['may', 'many', 'one', 'cause', 'usual', 'soundwav', 'already', 'lost', 'nights', 'later', 'addicting', 'feeling', 'least']"
4,0.1163748,0.1267679,"['dm', 'better', 'make', 'get', 'permission', 'lutheranlucciol', 'blessing', 'gt', 'post', 'first', 'lol', 'link', 'sure', 'video', 'lt', 'miss']"
4,-0.49998555,0.7739116,"['added', 'tweetie', 'new', 'iphone']"
4,0.24379128,0.14791466,"['yeah', 'para', 'ko', 'globe', 'din', 'ako', 'think', 'na', 'makakasama', 'know', 'michellardi', 'really', 'gumaling', 'kung', 'alam', 'sana']"
4,-1.4035132,-2.0538154,"['picture', 'sweet', 'nicolerichie']"
